,predicate,object
2163,HAS_ROUTE,10146
2164,ON_CONTINENT,17249
2165,HAS_ROUTE,8690
2166,ON_CONTINENT,17249
2167,HAS_ROUTE,10670
2168,IN_REGION,16256
2169,HAS_ROUTE,9126
2170,HAS_ROUTE,8960
2171,HAS_ROUTE,8657
2172,IN_CITY,12300
2173,IN_REGION,15518
2174,IN_REGION,15534
2175,HAS_ROUTE,9471
2176,HAS_ROUTE,8674
2177,ON_CONTINENT,17248
2178,HAS_ROUTE,8876
2179,HAS_ROUTE,10569
2180,HAS_ROUTE,8684
2181,IN_REGION,16206
2182,HAS_ROUTE,8657
2183,HAS_ROUTE,8698
2184,HAS_ROUTE,10118
2185,HAS_ROUTE,10515
2186,IN_COUNTRY,17016
2187,IN_REGION,15959
2188,IN_CITY,12376
2189,HAS_ROUTE,8894
2190,IN_COUNTRY,17021
2191,HAS_ROUTE,9433
2192,HAS_ROUTE,11505
2193,IN_CITY,15297
2194,HAS_ROUTE,10153
2195,HAS_ROUTE,9776
2196,ON_CONTINENT,17250
2197,HAS_ROUTE,11909
2198,HAS_ROUTE,8852
2199,HAS_ROUTE,9303
2200,IN_COUNTRY,17027
2201,HAS_ROUTE,9078
2202,HAS_ROUTE,8703
2203,HAS_ROUTE,8754
2204,ON_CONTINENT,17249
2205,IN_COUNTRY,17016
2206,HAS_ROUTE,9298
2207,HAS_ROUTE,8656
2208,HAS_ROUTE,8694
2209,HAS_ROUTE,8734
2210,IN_REGION,16982
2211,HAS_ROUTE,9175
2212,IN_COUNTRY,17114
2213,IN_COUNTRY,17027
2214,IN_CITY,12393
2215,IN_CITY,15416
2216,IN_REGION,15630
2217,HAS_ROUTE,8884
2218,HAS_ROUTE,8643
2219,HAS_ROUTE,8629
2220,ON_CONTINENT,17248
2221,HAS_ROUTE,9193
2222,HAS_ROUTE,8682
2223,HAS_ROUTE,8849
2224,HAS_ROUTE,9173
2225,HAS_ROUTE,10988
2226,IN_COUNTRY,17065
2227,HAS_ROUTE,8931
2228,HAS_ROUTE,8811
2229,HAS_ROUTE,9297
2230,IN_COUNTRY,17091
2231,IN_REGION,16816
2232,HAS_ROUTE,8739
2233,ON_CONTINENT,17252
2234,HAS_ROUTE,8825
2235,IN_CITY,13990
2236,IN_REGION,15499
2237,IN_COUNTRY,17023
2238,HAS_ROUTE,9531
2239,IN_COUNTRY,17016
2240,ON_CONTINENT,17250
2241,IN_COUNTRY,17018
2242,IN_COUNTRY,17016
2243,ON_CONTINENT,17249
2244,IN_COUNTRY,17123
2245,IN_COUNTRY,17044
2246,HAS_ROUTE,8787
2247,HAS_ROUTE,9124
2248,IN_REGION,16690
2249,ON_CONTINENT,17250
2250,HAS_ROUTE,9670
2251,HAS_ROUTE,8970
2252,HAS_ROUTE,8700
2253,HAS_ROUTE,9808
2254,HAS_ROUTE,8696
2255,HAS_ROUTE,8748
2256,IN_REGION,15847
2257,IN_CITY,13503
2258,HAS_ROUTE,9824
2259,IN_COUNTRY,17057
2260,ON_CONTINENT,17248
2261,HAS_ROUTE,9316
2262,HAS_ROUTE,8703
2263,IN_REGION,16683
2264,HAS_ROUTE,10122
2265,HAS_ROUTE,9356
2266,ON_CONTINENT,17253
2267,IN_REGION,15790
2268,IN_CITY,12625
2269,HAS_ROUTE,12056
2270,HAS_ROUTE,11296
2271,HAS_ROUTE,9080
2272,HAS_ROUTE,9911
2273,IN_COUNTRY,17208
2274,HAS_ROUTE,8812
2275,HAS_ROUTE,9609
2276,IN_CITY,13366
2277,IN_COUNTRY,17018
2278,HAS_ROUTE,8986
2279,ON_CONTINENT,17253
2280,HAS_ROUTE,9597
2281,HAS_ROUTE,9081
