_start,_end,_type,_disance
8629,8663,HAS_ROUTE,3755
8629,8660,HAS_ROUTE,443
8629,8661,HAS_ROUTE,1501
8629,8664,HAS_ROUTE,148
8629,8665,HAS_ROUTE,527
8629,8667,HAS_ROUTE,1173
8629,8668,HAS_ROUTE,1494
8629,8669,HAS_ROUTE,795
8629,8671,HAS_ROUTE,1428
8629,8672,HAS_ROUTE,1148
8630,8627,HAS_ROUTE,214
8630,8629,HAS_ROUTE,755
8630,8631,HAS_ROUTE,940
8630,8632,HAS_ROUTE,586
8630,8633,HAS_ROUTE,560
8630,8634,HAS_ROUTE,630
8630,8635,HAS_ROUTE,794
8630,8636,HAS_ROUTE,541
8630,8637,HAS_ROUTE,656
8630,8638,HAS_ROUTE,764
8630,8639,HAS_ROUTE,1792
8630,8640,HAS_ROUTE,762
8630,8641,HAS_ROUTE,617
8630,8642,HAS_ROUTE,807
8630,8643,HAS_ROUTE,695
8630,8644,HAS_ROUTE,409
8630,8646,HAS_ROUTE,1445
8630,8647,HAS_ROUTE,441
8630,8648,HAS_ROUTE,1972
8630,8649,HAS_ROUTE,1963
8630,8651,HAS_ROUTE,613
8630,8652,HAS_ROUTE,1746
8630,8655,HAS_ROUTE,1400
8630,8656,HAS_ROUTE,1583
8630,8657,HAS_ROUTE,1011
8630,8659,HAS_ROUTE,821
8630,8660,HAS_ROUTE,471
8630,8661,HAS_ROUTE,746
8630,8662,HAS_ROUTE,481
8630,8664,HAS_ROUTE,669
8630,8667,HAS_ROUTE,448
8630,8668,HAS_ROUTE,1953
8630,8671,HAS_ROUTE,673
8630,8672,HAS_ROUTE,456
8631,8627,HAS_ROUTE,945
8631,8629,HAS_ROUTE,1695
8631,8630,HAS_ROUTE,940
8631,8632,HAS_ROUTE,369
8631,8633,HAS_ROUTE,398
8631,8634,HAS_ROUTE,1558
8631,8635,HAS_ROUTE,1238
8631,8636,HAS_ROUTE,412
8631,8637,HAS_ROUTE,1594
8631,8638,HAS_ROUTE,186
8631,8639,HAS_ROUTE,2604
8631,8640,HAS_ROUTE,184
8631,8641,HAS_ROUTE,1121
8631,8642,HAS_ROUTE,1259
8631,8643,HAS_ROUTE,1120
8631,8644,HAS_ROUTE,864
8631,8645,HAS_ROUTE,1198
8631,8646,HAS_ROUTE,2294
8631,8647,HAS_ROUTE,611
8631,8648,HAS_ROUTE,2487
8631,8649,HAS_ROUTE,2696
8631,8650,HAS_ROUTE,2680
8631,8651,HAS_ROUTE,1185
8631,8652,HAS_ROUTE,2581
8631,8653,HAS_ROUTE,2595
8631,8655,HAS_ROUTE,2098
8631,8656,HAS_ROUTE,2374
8631,8657,HAS_ROUTE,1748
8631,8658,HAS_ROUTE,166
8631,8660,HAS_ROUTE,1366
8631,8661,HAS_ROUTE,200
8631,8663,HAS_ROUTE,5083
8631,8664,HAS_ROUTE,1606
8631,8666,HAS_ROUTE,1678
8631,8667,HAS_ROUTE,561
8631,8668,HAS_ROUTE,2685
8631,8671,HAS_ROUTE,280
8631,8672,HAS_ROUTE,630
8632,8627,HAS_ROUTE,576
8632,8630,HAS_ROUTE,586
8632,8631,HAS_ROUTE,369
8632,8634,HAS_ROUTE,1214
8632,8635,HAS_ROUTE,927
8632,8637,HAS_ROUTE,1233
8632,8638,HAS_ROUTE,183
8632,8639,HAS_ROUTE,2322
8632,8641,HAS_ROUTE,788
8632,8642,HAS_ROUTE,948
8632,8643,HAS_ROUTE,934
8632,8644,HAS_ROUTE,620
8632,8645,HAS_ROUTE,885
8632,8646,HAS_ROUTE,1993
8632,8647,HAS_ROUTE,256
8632,8648,HAS_ROUTE,2327
8632,8649,HAS_ROUTE,2449
8632,8650,HAS_ROUTE,2431
8632,8651,HAS_ROUTE,843
8632,8652,HAS_ROUTE,2289
8632,8655,HAS_ROUTE,1859
8632,8629,HAS_ROUTE,1339
8632,8656,HAS_ROUTE,2099
8632,8657,HAS_ROUTE,1486
8632,8659,HAS_ROUTE,1405
8632,8660,HAS_ROUTE,997
8632,8661,HAS_ROUTE,169
8632,8664,HAS_ROUTE,1244
8632,8666,HAS_ROUTE,1568
8632,8667,HAS_ROUTE,313
8632,8668,HAS_ROUTE,2439
8632,8671,HAS_ROUTE,90
8632,8672,HAS_ROUTE,408
8633,8627,HAS_ROUTE,546
8633,8629,HAS_ROUTE,1313
8633,8630,HAS_ROUTE,560
